"MeasurementTimestamp","SampleID","MeasurementNo","ResultType","ResultValue","Unit","Flags","SampleType","ErrorOrComment","OperatorID","RawResultRecord"
"202604271350","jMDA.^01","0016","^^^Osm","322","mOsm","","N","","","R|1|^^^Osm|322|mOsm||||F|||202604271350"
"202604271350","jMDA.^01","0016","^^^R.STD","","mOsm","","N","","","R|2|^^^R.STD||mOsm||||F|||202604271350"
"202604271350","jMDA.^01","0016","^^^Ratio","","","","N","","","R|3|^^^Ratio||||||F|||202604271350"
"202604271350","0.^02","0017","^^^Osm","322","mOsm","","N","","","R|1|^^^Osm|322|mOsm||||F|||202604271350"
"202604271350","0.^02","0017","^^^R.STD","","mOsm","","N","","","R|2|^^^R.STD||mOsm||||F|||202604271350"
"202604271350","0.^02","0017","^^^Ratio","","","","N","","","R|3|^^^Ratio||||||F|||202604271350"
"202604271350","0.^03","0018","^^^Osm","322","mOsm","","N","","","R|1|^^^Osm|322|mOsm||||F|||202604271350"
"202604271350","0.^03","0018","^^^R.STD","","mOsm","","N","","","R|2|^^^R.STD||mOsm||||F|||202604271350"
"202604271350","0.^03","0018","^^^Ratio","","","","N","","","R|3|^^^Ratio||||||F|||202604271350"
"202604271350","jMDc.^04","0019","^^^Osm","322","mOsm","","N","","","R|1|^^^Osm|322|mOsm||||F|||202604271350"
"202604271350","jMDc.^04","0019","^^^R.STD","","mOsm","","N","","","R|2|^^^R.STD||mOsm||||F|||202604271350"
"202604271350","jMDc.^04","0019","^^^Ratio","","","","N","","","R|3|^^^Ratio||||||F|||202604271350"
"202604271350","0.^05","0020","^^^Osm","322","mOsm","","N","","","R|1|^^^Osm|322|mOsm||||F|||202604271350"
"202604271350","0.^05","0020","^^^R.STD","","mOsm","","N","","","R|2|^^^R.STD||mOsm||||F|||202604271350"
"202604271350","0.^05","0020","^^^Ratio","","","","N","","","R|3|^^^Ratio||||||F|||202604271350"


